3000402090 = Verdict: Solved ; Iters: 659310 ; Length: 109
3000406533 = Verdict: Solved ; Iters: 37168 ; Length: 169
3000428005 = Verdict: Unsolved ; Iters: 1027242 ; Length: -1
3000435201 = Verdict: Solved ; Iters: 1357182 ; Length: 141
3000449345 = Verdict: Unsolved ; Iters: 6510063 ; Length: -1
3000467589 = Verdict: Solved ; Iters: 286780 ; Length: 126
3000490239 = Verdict: Unsolved ; Iters: 7400533 ; Length: -1
3000597396 = Verdict: Solved ; Iters: 139533 ; Length: 135
3000614239 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3000698181 = Verdict: Solved ; Iters: 6051070 ; Length: 130
3000846073 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3000879180 = Verdict: Solved ; Iters: 321488 ; Length: 162
3000881608 = Verdict: Solved ; Iters: 462337 ; Length: 137
3000929049 = Verdict: Solved ; Iters: 1426812 ; Length: 149
3001033222 = Verdict: Unsolved ; Iters: 3715416 ; Length: -1
3001127798 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3001196934 = Verdict: Unsolved ; Iters: 1060606 ; Length: -1
3001266260 = Verdict: Solved ; Iters: 1858353 ; Length: 119
3001294837 = Verdict: Unsolved ; Iters: 2265842 ; Length: -1
3001371599 = Verdict: Solved ; Iters: 154603 ; Length: 132
3001373242 = Verdict: Unsolved ; Iters: 339084 ; Length: -1
3001400637 = Verdict: Solved ; Iters: 3550910 ; Length: 125
3001416840 = Verdict: Solved ; Iters: 174412 ; Length: 138
3001503740 = Verdict: Unsolved ; Iters: 1232392 ; Length: -1
3001553402 = Verdict: Solved ; Iters: 793581 ; Length: 121
3001576824 = Verdict: Solved ; Iters: 3210089 ; Length: 143
3001606576 = Verdict: Solved ; Iters: 27381 ; Length: 111
3001638617 = Verdict: Solved ; Iters: 648114 ; Length: 119
3001756325 = Verdict: Unsolved ; Iters: 2046109 ; Length: -1
3001838692 = Verdict: Solved ; Iters: 1811224 ; Length: 102
3001875466 = Verdict: Unsolved ; Iters: 6401217 ; Length: -1
3001965072 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3002023055 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3002081872 = Verdict: Unsolved ; Iters: 1327204 ; Length: -1
3002156827 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3002185025 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3002289660 = Verdict: Unsolved ; Iters: 3810601 ; Length: -1
3002360993 = Verdict: Unsolved ; Iters: 1465003 ; Length: -1
3002365371 = Verdict: Solved ; Iters: 12724943 ; Length: 134
3002442755 = Verdict: Unsolved ; Iters: 9981063 ; Length: -1
3002600592 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3002626199 = Verdict: Solved ; Iters: 125607 ; Length: 124
3002726072 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3002766496 = Verdict: Solved ; Iters: 1140433 ; Length: 149
3002843859 = Verdict: Unsolved ; Iters: 4797224 ; Length: -1
3002849365 = Verdict: Solved ; Iters: 1566368 ; Length: 135
3002911420 = Verdict: Unsolved ; Iters: 8881764 ; Length: -1
3002923624 = Verdict: Solved ; Iters: 596052 ; Length: 134
3002932880 = Verdict: Unsolved ; Iters: 3584837 ; Length: -1
3003052399 = Verdict: Solved ; Iters: 1117307 ; Length: 131
3003241802 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3003344560 = Verdict: Solved ; Iters: 1571225 ; Length: 134
3003383938 = Verdict: Solved ; Iters: 825782 ; Length: 120
3003405720 = Verdict: Unsolved ; Iters: 8554 ; Length: -1
3003475374 = Verdict: Solved ; Iters: 751882 ; Length: 137
3003515561 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3003540105 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3003548708 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
