4467059141 = Verdict: Unsolved ; Iters: 2666217 ; Length: -1
4467073809 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4467077266 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4467112591 = Verdict: Solved ; Iters: 1154558 ; Length: 138
4467146002 = Verdict: Solved ; Iters: 325050 ; Length: 107
4467180933 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4467182829 = Verdict: Solved ; Iters: 34304 ; Length: 161
4467199069 = Verdict: Unsolved ; Iters: 1718142 ; Length: -1
4467230459 = Verdict: Solved ; Iters: 93096 ; Length: 119
4467234406 = Verdict: Unsolved ; Iters: 8672102 ; Length: -1
4467261730 = Verdict: Unsolved ; Iters: 195758 ; Length: -1
4467307523 = Verdict: Unsolved ; Iters: 4777203 ; Length: -1
4467317412 = Verdict: Unsolved ; Iters: 7299028 ; Length: -1
4467336879 = Verdict: Solved ; Iters: 1005059 ; Length: 135
4467344258 = Verdict: Unsolved ; Iters: 620479 ; Length: -1
4467392241 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4467442212 = Verdict: Unsolved ; Iters: 2544241 ; Length: -1
4467482350 = Verdict: Solved ; Iters: 72897 ; Length: 136
4467524417 = Verdict: Unsolved ; Iters: 5423138 ; Length: -1
4467554332 = Verdict: Unsolved ; Iters: 146216 ; Length: -1
4467573926 = Verdict: Unsolved ; Iters: 3088351 ; Length: -1
4467615019 = Verdict: Unsolved ; Iters: 2774800 ; Length: -1
4467750954 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4467794956 = Verdict: Solved ; Iters: 769692 ; Length: 119
4467801260 = Verdict: Unsolved ; Iters: 6521807 ; Length: -1
4467816227 = Verdict: Unsolved ; Iters: 3111381 ; Length: -1
4467851487 = Verdict: Unsolved ; Iters: 2648861 ; Length: -1
4467988502 = Verdict: Unsolved ; Iters: 550032 ; Length: -1
4468009270 = Verdict: Unsolved ; Iters: 5239373 ; Length: -1
4468021609 = Verdict: Unsolved ; Iters: 3245841 ; Length: -1
4468060230 = Verdict: Solved ; Iters: 1395784 ; Length: 132
4468151980 = Verdict: Solved ; Iters: 8398644 ; Length: 133
4468186652 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4468210685 = Verdict: Solved ; Iters: 2208045 ; Length: 118
4468331906 = Verdict: Solved ; Iters: 77559 ; Length: 127
4468379844 = Verdict: Solved ; Iters: 263279 ; Length: 118
4468439870 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4468476425 = Verdict: Unsolved ; Iters: 4986058 ; Length: -1
4468532705 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4468534617 = Verdict: Solved ; Iters: 4325 ; Length: 114
4468542299 = Verdict: Unsolved ; Iters: 6819480 ; Length: -1
4468621083 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4468652300 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4468699903 = Verdict: Unsolved ; Iters: 11325874 ; Length: -1
4468771893 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4468780262 = Verdict: Unsolved ; Iters: 8662850 ; Length: -1
4468957695 = Verdict: Solved ; Iters: 2291624 ; Length: 150
4468995871 = Verdict: Unsolved ; Iters: 292419 ; Length: -1
4469067353 = Verdict: Solved ; Iters: 6734182 ; Length: 111
4469128668 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4469312558 = Verdict: Unsolved ; Iters: 54140 ; Length: -1
4469624041 = Verdict: Solved ; Iters: 245243 ; Length: 138
4469631639 = Verdict: Solved ; Iters: 181886 ; Length: 126
4469703960 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4469716206 = Verdict: Unsolved ; Iters: 3996854 ; Length: -1
4469758496 = Verdict: Solved ; Iters: 1805778 ; Length: 121
4469787231 = Verdict: Unsolved ; Iters: 579077 ; Length: -1
4469817071 = Verdict: Solved ; Iters: 1466221 ; Length: 125
4469823930 = Verdict: Solved ; Iters: 921752 ; Length: 140
4469840338 = Verdict: Unsolved ; Iters: 65108 ; Length: -1
4469849008 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4469881310 = Verdict: Solved ; Iters: 891094 ; Length: 142
4470020120 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4470051397 = Verdict: Unsolved ; Iters: 953953 ; Length: -1
4470141667 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4470245272 = Verdict: Unsolved ; Iters: 4033651 ; Length: -1
4470329824 = Verdict: Solved ; Iters: 257326 ; Length: 124
4470449649 = Verdict: Solved ; Iters: 2675293 ; Length: 204
4470583360 = Verdict: Solved ; Iters: 1639898 ; Length: 131
4470671553 = Verdict: Solved ; Iters: 4638940 ; Length: 130
4470696242 = Verdict: Unsolved ; Iters: 216016 ; Length: -1
4470713040 = Verdict: Solved ; Iters: 639115 ; Length: 139
4470722243 = Verdict: Unsolved ; Iters: 276871 ; Length: -1
4470774585 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4470796264 = Verdict: Unsolved ; Iters: 9291767 ; Length: -1
4470858172 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4471089667 = Verdict: Unsolved ; Iters: 5780969 ; Length: -1
4471152902 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4471187433 = Verdict: Solved ; Iters: 3757206 ; Length: 140
4471281843 = Verdict: Solved ; Iters: 610888 ; Length: 121
4471317503 = Verdict: Solved ; Iters: 1660404 ; Length: 117
4471389026 = Verdict: Solved ; Iters: 104067 ; Length: 126
4471403087 = Verdict: Solved ; Iters: 10708 ; Length: 113
4471564255 = Verdict: Unsolved ; Iters: 380080 ; Length: -1
4471599465 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4471653602 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4471724878 = Verdict: Solved ; Iters: 1290387 ; Length: 119
4471764171 = Verdict: Solved ; Iters: 3479173 ; Length: 171
4471786602 = Verdict: Solved ; Iters: 20797 ; Length: 130
4471835469 = Verdict: Solved ; Iters: 214487 ; Length: 108
4471884109 = Verdict: Solved ; Iters: 4579443 ; Length: 161
4471896311 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4471908404 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4471963879 = Verdict: Solved ; Iters: 1817 ; Length: 114
4472084220 = Verdict: Solved ; Iters: 142411 ; Length: 120
4472132539 = Verdict: Solved ; Iters: 573551 ; Length: 120
4472171125 = Verdict: Unsolved ; Iters: 7096123 ; Length: -1
4472211953 = Verdict: Solved ; Iters: 396539 ; Length: 107
4472233832 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4472261443 = Verdict: Solved ; Iters: 3454778 ; Length: 135
4472607768 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4472629579 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4472655074 = Verdict: Solved ; Iters: 149005 ; Length: 124
4472707154 = Verdict: Unsolved ; Iters: 377654 ; Length: -1
4472774520 = Verdict: Unsolved ; Iters: 6728223 ; Length: -1
4472802309 = Verdict: Solved ; Iters: 81670 ; Length: 134
4472930946 = Verdict: Solved ; Iters: 274209 ; Length: 100
4472958366 = Verdict: Unsolved ; Iters: 96032 ; Length: -1
4472964891 = Verdict: Unsolved ; Iters: 6090910 ; Length: -1
4472985844 = Verdict: Solved ; Iters: 40755 ; Length: 109
4473028161 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4473131424 = Verdict: Solved ; Iters: 3138298 ; Length: 130
4473216592 = Verdict: Solved ; Iters: 143727 ; Length: 117
4473263788 = Verdict: Solved ; Iters: 2228371 ; Length: 156
4473357323 = Verdict: Solved ; Iters: 7985457 ; Length: 124
4473379992 = Verdict: Solved ; Iters: 671186 ; Length: 139
4473401298 = Verdict: Solved ; Iters: 7228556 ; Length: 120
4473482880 = Verdict: Unsolved ; Iters: 5664665 ; Length: -1
4473577023 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4473593362 = Verdict: Unsolved ; Iters: 337698 ; Length: -1
4473728940 = Verdict: Unsolved ; Iters: 5652282 ; Length: -1
4473732016 = Verdict: Unsolved ; Iters: 12158397 ; Length: -1
4473732396 = Verdict: Unsolved ; Iters: 5019220 ; Length: -1
4473751160 = Verdict: Unsolved ; Iters: 8223372 ; Length: -1
4473799842 = Verdict: Solved ; Iters: 5522741 ; Length: 133
4473816414 = Verdict: Unsolved ; Iters: 4250602 ; Length: -1
4473841026 = Verdict: Solved ; Iters: 744596 ; Length: 137
4473888233 = Verdict: Solved ; Iters: 298788 ; Length: 115
4474067731 = Verdict: Solved ; Iters: 1463422 ; Length: 132
