138026 = Verdict: Unsolved ; Iters: 7986016 ; Length: -1
138026 = Verdict: Intractable ; Iters: 5000000 ; Length: -1
1453966 = Verdict: Intractable ; Iters: 5000000 ; Length: -1
1618084 = Verdict: Unsolved ; Iters: 1189407 ; Length: -1
3517532 = Verdict: Intractable ; Iters: 5000000 ; Length: -1
138026 = Verdict: Unsolved ; Iters: 7986016 ; Length: -1
1453966 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
1618084 = Verdict: Unsolved ; Iters: 1189407 ; Length: -1
3517532 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
3551151 = Verdict: Unsolved ; Iters: 11038910 ; Length: -1
4566985 = Verdict: Solved ; Iters: 9071563 ; Length: 121
7469351 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
7511511 = Verdict: Unsolved ; Iters: 21418 ; Length: -1
7732072 = Verdict: Unsolved ; Iters: 8858203 ; Length: -1
8137008 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
9161034 = Verdict: Unsolved ; Iters: 16886450 ; Length: -1
10057858 = Verdict: Solved ; Iters: 4697235 ; Length: 125
10063848 = Verdict: Unsolved ; Iters: 1383195 ; Length: -1
10134661 = Verdict: Solved ; Iters: 250180 ; Length: 115
10143018 = Verdict: Solved ; Iters: 587506 ; Length: 126
10167159 = Verdict: Solved ; Iters: 1054447 ; Length: 132
10381585 = Verdict: Solved ; Iters: 289618 ; Length: 142
10446569 = Verdict: Unsolved ; Iters: 576658 ; Length: -1
10567559 = Verdict: Unsolved ; Iters: 1423344 ; Length: -1
10609838 = Verdict: Unsolved ; Iters: 1965813 ; Length: -1
10819047 = Verdict: Unsolved ; Iters: 1014923 ; Length: -1
10870379 = Verdict: Solved ; Iters: 5091206 ; Length: 113
10885666 = Verdict: Unsolved ; Iters: 9134802 ; Length: -1
11013411 = Verdict: Unsolved ; Iters: 11581 ; Length: -1
11106978 = Verdict: Solved ; Iters: 951010 ; Length: 113
11124922 = Verdict: Unsolved ; Iters: 100634 ; Length: -1
11130524 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
11154359 = Verdict: Solved ; Iters: 154430 ; Length: 150
11168135 = Verdict: Unsolved ; Iters: 786745 ; Length: -1
11356158 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
11366073 = Verdict: Solved ; Iters: 371041 ; Length: 121
11405270 = Verdict: Unsolved ; Iters: 90109 ; Length: -1
11592351 = Verdict: Solved ; Iters: 456314 ; Length: 127
11626532 = Verdict: Solved ; Iters: 648405 ; Length: 164
11714556 = Verdict: Unsolved ; Iters: 1537078 ; Length: -1
11859211 = Verdict: Solved ; Iters: 48249 ; Length: 121
11954067 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
12012123 = Verdict: Solved ; Iters: 3945012 ; Length: 167
12036500 = Verdict: Solved ; Iters: 1692183 ; Length: 139
12099296 = Verdict: Solved ; Iters: 9167388 ; Length: 138
12106336 = Verdict: Unsolved ; Iters: 123671 ; Length: -1
12172899 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
12277602 = Verdict: Solved ; Iters: 11021 ; Length: 103
12315041 = Verdict: Solved ; Iters: 1936336 ; Length: 179
12433684 = Verdict: Unsolved ; Iters: 3651188 ; Length: -1
12467153 = Verdict: Solved ; Iters: 111597 ; Length: 126
12469619 = Verdict: Solved ; Iters: 1005130 ; Length: 148
12518207 = Verdict: Unsolved ; Iters: 2686497 ; Length: -1
12530412 = Verdict: Solved ; Iters: 1086 ; Length: 125
12645603 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
12666417 = Verdict: Solved ; Iters: 76377 ; Length: 138
12709637 = Verdict: Solved ; Iters: 1083812 ; Length: 121
12710482 = Verdict: Unsolved ; Iters: 220064 ; Length: -1
12809298 = Verdict: Solved ; Iters: 331507 ; Length: 134
12949272 = Verdict: Unsolved ; Iters: 17008792 ; Length: -1
12982982 = Verdict: Solved ; Iters: 3521449 ; Length: 158
12992796 = Verdict: Unsolved ; Iters: 27835 ; Length: -1
13029136 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
13083862 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
13121357 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
13212642 = Verdict: Unsolved ; Iters: 1246129 ; Length: -1
13334708 = Verdict: Solved ; Iters: 4448807 ; Length: 138
13369133 = Verdict: Solved ; Iters: 12414764 ; Length: 122
