1000004963 = Verdict: Unsolved ; Iters: 12323922 ; Length: -1
1000099787 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1000134132 = Verdict: Solved ; Iters: 407285 ; Length: -1
1000148232 = Verdict: Solved ; Iters: 2804631 ; Length: -1
1000149822 = Verdict: Solved ; Iters: 52802 ; Length: -1
1000167150 = Verdict: Unsolved ; Iters: 911032 ; Length: -1
1000246823 = Verdict: Solved ; Iters: 1871755 ; Length: -1
1000278382 = Verdict: Unsolved ; Iters: 4492254 ; Length: -1
1000281984 = Verdict: Solved ; Iters: 5466015 ; Length: -1
1000348232 = Verdict: Unsolved ; Iters: 39557930 ; Length: -1
1000393901 = Verdict: Solved ; Iters: 320162 ; Length: -1
1000495350 = Verdict: Solved ; Iters: 1626211 ; Length: -1
1000516333 = Verdict: Solved ; Iters: 695105 ; Length: -1
1000695192 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1000792621 = Verdict: Unsolved ; Iters: 227882 ; Length: -1
1000811433 = Verdict: Unsolved ; Iters: 7478920 ; Length: -1
1000871487 = Verdict: Unsolved ; Iters: 2012810 ; Length: -1
1000885706 = Verdict: Solved ; Iters: 2815 ; Length: -1
1000897708 = Verdict: Unsolved ; Iters: 11401158 ; Length: -1
1000976929 = Verdict: Unsolved ; Iters: 13326525 ; Length: -1
1001016632 = Verdict: Unsolved ; Iters: 2642205 ; Length: -1
1001181836 = Verdict: Solved ; Iters: 170326 ; Length: -1
1001272577 = Verdict: Solved ; Iters: 1995625 ; Length: -1
1001279059 = Verdict: Solved ; Iters: 578717 ; Length: -1
1001303134 = Verdict: Solved ; Iters: 3647627 ; Length: -1
1001587579 = Verdict: Unsolved ; Iters: 18370713 ; Length: -1
1001592215 = Verdict: Solved ; Iters: 1801481 ; Length: -1
1001621348 = Verdict: Unsolved ; Iters: 2677781 ; Length: -1
1001679927 = Verdict: Unsolved ; Iters: 10858876 ; Length: -1
1001680005 = Verdict: Unsolved ; Iters: 6950818 ; Length: -1
1001788914 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1001884218 = Verdict: Solved ; Iters: 20785461 ; Length: -1
1001911470 = Verdict: Unsolved ; Iters: 6615078 ; Length: -1
1001933772 = Verdict: Unsolved ; Iters: 9857715 ; Length: -1
1001984438 = Verdict: Unsolved ; Iters: 5000916 ; Length: -1
1002012865 = Verdict: Unsolved ; Iters: 2377681 ; Length: -1
1002250686 = Verdict: Unsolved ; Iters: 24726007 ; Length: -1
1002314558 = Verdict: Solved ; Iters: 687296 ; Length: -1
1002331117 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1002372448 = Verdict: Solved ; Iters: 849654 ; Length: -1
1002434955 = Verdict: Solved ; Iters: 29289097 ; Length: -1
1002596336 = Verdict: Unsolved ; Iters: 2137659 ; Length: -1
1002649891 = Verdict: Unsolved ; Iters: 2893462 ; Length: -1
1002651946 = Verdict: Unsolved ; Iters: 3419903 ; Length: -1
1002689989 = Verdict: Solved ; Iters: 9834062 ; Length: -1
1002778453 = Verdict: Unsolved ; Iters: 2399612 ; Length: -1
1002938865 = Verdict: Solved ; Iters: 956891 ; Length: -1
1003001499 = Verdict: Solved ; Iters: 728821 ; Length: -1
1003149085 = Verdict: Unsolved ; Iters: 11531473 ; Length: -1
1003257373 = Verdict: Unsolved ; Iters: 33726504 ; Length: -1
1003465099 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1003585527 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1003654992 = Verdict: Unsolved ; Iters: 2537139 ; Length: -1
1003658854 = Verdict: Solved ; Iters: 356557 ; Length: -1
1003729003 = Verdict: Unsolved ; Iters: 29756302 ; Length: -1
1003787284 = Verdict: Solved ; Iters: 1857628 ; Length: -1
1003800058 = Verdict: Solved ; Iters: 158916 ; Length: -1
1003817847 = Verdict: Unsolved ; Iters: 582682 ; Length: -1
1003838669 = Verdict: Unsolved ; Iters: 390061 ; Length: -1
1003883492 = Verdict: Unsolved ; Iters: 213817 ; Length: -1
1004015475 = Verdict: Solved ; Iters: 1127606 ; Length: -1
1004025456 = Verdict: Unsolved ; Iters: 2458904 ; Length: -1
1004034912 = Verdict: Unsolved ; Iters: 22239266 ; Length: -1
1004097517 = Verdict: Solved ; Iters: 691867 ; Length: -1
1004100728 = Verdict: Solved ; Iters: 979712 ; Length: -1
1004227693 = Verdict: Solved ; Iters: 1225012 ; Length: -1
1004251673 = Verdict: Unsolved ; Iters: 6911036 ; Length: -1
1004343353 = Verdict: Solved ; Iters: 521485 ; Length: -1
1004552455 = Verdict: Solved ; Iters: 647163 ; Length: -1
1004655502 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1004669756 = Verdict: Solved ; Iters: 1092674 ; Length: -1
1004724424 = Verdict: Unsolved ; Iters: 15135958 ; Length: -1
1004793398 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1004823332 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1004970940 = Verdict: Unsolved ; Iters: 4071280 ; Length: -1
1004984860 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1005009341 = Verdict: Unsolved ; Iters: 1150817 ; Length: -1
1005016425 = Verdict: Unsolved ; Iters: 14154615 ; Length: -1
1005177770 = Verdict: Solved ; Iters: 5091090 ; Length: -1
1005280505 = Verdict: Solved ; Iters: 5626377 ; Length: -1
1005294466 = Verdict: Unsolved ; Iters: 1884773 ; Length: -1
1005361528 = Verdict: Solved ; Iters: 1739 ; Length: -1
1005367555 = Verdict: Solved ; Iters: 13557645 ; Length: -1
1005428025 = Verdict: Solved ; Iters: 2407789 ; Length: -1
1005589062 = Verdict: Unsolved ; Iters: 10296120 ; Length: -1
1005629842 = Verdict: Unsolved ; Iters: 2108726 ; Length: -1
1005875362 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1005879414 = Verdict: Unsolved ; Iters: 1857798 ; Length: -1
1006051021 = Verdict: Unsolved ; Iters: 4341636 ; Length: -1
1006177010 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1006227921 = Verdict: Solved ; Iters: 1467216 ; Length: -1
1006241618 = Verdict: Solved ; Iters: 3500469 ; Length: -1
1006411574 = Verdict: Unsolved ; Iters: 15143273 ; Length: -1
1006535226 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1006560759 = Verdict: Unsolved ; Iters: 13894984 ; Length: -1
1006600876 = Verdict: Unsolved ; Iters: 4189803 ; Length: -1
1006620807 = Verdict: Solved ; Iters: 456062 ; Length: -1
1006740078 = Verdict: Solved ; Iters: 899157 ; Length: -1
